,LEAID,NAME,Graduation Rate,MZIP
378,2742160,WAYZATA,0.9725,55391
379,2742270,WEST ST PAUL-MENDOTA HTS-EAGAN,0.9233,55118
380,2742330,WHEATON AREA,0.931,56296
381,2742360,WHITE BEAR LAKE,0.8812000000000001,55110
382,2742720,WILLMAR,0.7221,56201
383,2742750,WILLOW RIVER,0.9688,55795
384,2742780,WINDOM,0.9831,56101
385,2744070,WINONA AREA,0.7924,55987
386,2744160,WORTHINGTON,0.753,56187
387,2744190,WRENSHALL,0.8571,55797
388,2745735,ZUMBROTA-MAZEPPA,0.9405,55956
389,2791353,RIVER BEND EDUCATION,0.4259,56073
390,2791443,GOODHUE COUNTY EDUCATION,0.3968,55066
391,2791445,LAKE CRYSTAL-WELLCOME MEMORIAL,0.9273,56055
392,2791446,TRI-COUNTY,1.0,56732
393,2791447,KITTSON CENTRAL,0.9565,56728
394,2791448,NORMAN COUNTY WEST,0.6315999999999999,56548
395,2791449,WIN-E-MAC,0.9091,56535
396,2791450,MESABI EAST,0.8676,55705
397,2791451,JANESVILLE-WALDORF-PEMBERTON,0.9057,56048
398,2791455,WEST CENTRAL EDUCATION,0.4167,56378
399,2791456,PERPICH CENTER FOR ARTS EDUCATION,0.9663,55422
400,400001,Cave Creek Unified District,0.9414519906323184,85327
401,400003,Chino Valley Unified District,0.908045977011494,86323
402,400019,Flagstaff Arts And Leadership Academy,0.901639344262295,86001
403,400021,Colorado City Unified District,0.6388888888888888,86021
404,400023,Pinon Unified District,0.6265060240963856,86510
405,400026,Heber-Overgaard Unified District,0.88,85928
406,400036,Foothills Academy,0.8421052631578947,85266
407,400043,New School For The Arts,0.8113207547169812,85281
408,400047,Salt River Pima-Maricopa  Community Schools,0.3636363636363636,85256
409,400056,Arizona School For The Arts,1.0,85004
410,400065,Benjamin Franklin Charter School,0.9693877551020408,85142
411,400070,Tempe Preparatory Academy,0.94,85282
412,400074,Kingman Academy Of Learning,0.9662921348314608,86409
413,400079,Tucson Youth Development/ACE Charter High School,0.2208588957055214,85705
414,400082,Colorado River Union High School District,0.8297872340425532,86439
415,400094,Az-Tec High School,0.3518518518518518,85364
416,400097,Northland Preparatory Academy,0.963855421686747,86004
417,400099,Liberty High School,0.53125,85502
418,400129,Accelerated Elementary and Secondary Schools,1.0,85745
419,400130,American Heritage Academy,0.95,86326
420,400147,Ha:san Educational Services,0.4516129032258064,85719
421,400149,Kaizen Education Foundation dba El Dorado High School,0.5210084033613446,85020
422,400153,Phoenix School of Academic Excellence The,0.6578947368421053,85014
423,400159,Tucson Preparatory School,0.0377358490566037,85705
424,400163,Coconino County Accommodation School District,0.5050505050505051,86001
425,400201,Pima County,0.208955223880597,85714
426,400212,Benson Unified School District,0.9008264462809916,85602
427,400219,Career Success Schools,0.1759259259259259,85053
428,400223,Daisy Education Corporation dba Sonoran Science Academy,0.9487179487179486,85224
429,400231,James Madison Preparatory School,0.8571428571428571,85283
430,400274,AIBT Non-Profit Charter High School - Phoenix,0.2142857142857142,85301
431,400276,Academy with Community Partners  Inc,0.3518518518518518,85203
432,400280,Mohave Accelerated Learning Center,0.9827586206896552,86439
433,400284,Omega Alpha Academy,0.8461538461538461,85607
434,400288,Premier Charter High School,0.6049382716049383,85033
435,400290,Pan-American Elementary Charter,0.9,85017
436,400295,Kingman Unified School District,0.7971311475409836,86401
437,400315,Yavapai Accommodation School District,0.2142857142857142,86301
438,400326,Success School,0.4545454545454545,85378
439,400327,Pointe Educational Services,0.9920634920634922,85051
440,400329,American Virtual Academy,0.1772024209818426,85225
441,400332,James Sandoval Preparatory High School,0.4090909090909091,85033
442,400381,Carpe Diem Collegiate High School,0.6190476190476191,85366
443,400382,CPLC Community Schools dba Toltecalli High School,0.4090909090909091,85714
444,400386,Kaizen Education Foundation dba Summit High School,0.2248062015503876,85020
445,400388,Kaizen Education Foundation dba Skyview High School,0.5,85020
446,400389,Kaizen Education Foundation dba Maya High School,0.2222222222222222,85020
447,400394,Avondale Learning dba Precision Academy,0.8,85035
448,400395,LEAD Charter Schools,0.9393939393939392,85296
449,400402,Cholla Academy,0.8076923076923077,85033
